codice;nome;quartiere;zona_di_prossimita;geo_point
52;Biblioteca di Casa Carducci;Santo Stefano;GALVANI;"{""type"":""Point"",""coordinates"":[11.3573668,44.4882776]}"
53;Biblioteca del Museo Civico del Risorgimento;Santo Stefano;GALVANI;"{""type"":""Point"",""coordinates"":[11.3443521,44.4929994]}"
54;Biblioteca del Dipartimento di Sociologia e Diritto dell'Economia - SDE. Sezione di Diritto dell'economia;Santo Stefano;GALVANI;"{""type"":""Point"",""coordinates"":[11.3533692,44.4905161]}"
55;Biblioteca Renzo Renzi;Porto - Saragozza;MARCONI;"{""type"":""Point"",""coordinates"":[11.3347494,44.5026588]}"
56;Biblioteca Universitaria del Dipartimento di Filosofia e Comunicazione;Porto - Saragozza;MARCONI;"{""type"":""Point"",""coordinates"":[11.3379109,44.5007041]}"
57;Biblioteca di ingegneria Gian Paolo Dore;Santo Stefano;OSSERVANZA - PADERNO;"{""type"":""Point"",""coordinates"":[11.3288945,44.4877901]}"
58;"Biblioteca Universitaria di Ingegneria e Architettura. Sezione di Architettura ""G. Michelucci""";Santo Stefano;OSSERVANZA - PADERNO;"{""type"":""Point"",""coordinates"":[11.3281756,44.4872246]}"
59;Biblioteche IRCCS Istituti Ortopedici Rizzoli;Santo Stefano;OSSERVANZA - PADERNO;"{""type"":""Point"",""coordinates"":[11.3416141,44.4815171]}"
60;"Biblioteca di Ingegneria e Architettura. Sezione di Ingegneria civile ""Giovanni Michelucci""";Santo Stefano;OSSERVANZA - PADERNO;"{""type"":""Point"",""coordinates"":[11.3281614,44.4872283]}"
61;Biblioteca Amilcar Cabral;Santo Stefano;OSSERVANZA - PADERNO;"{""type"":""Point"",""coordinates"":[11.3393723,44.4841629]}"
62;Biblioteca Jorge Luis Borges;Porto - Saragozza;SAFFI;"{""type"":""Point"",""coordinates"":[11.328349491,44.502368181]}"
63;Aula studio Borges;Porto - Saragozza;SAFFI;"{""type"":""Point"",""coordinates"":[11.3273629,44.505037]}"
64;Biblioteca Luigi Spina;San Donato - San Vitale;SAN DONATO NUOVO;"{""type"":""Point"",""coordinates"":[11.394623783,44.511104024]}"
65;Biblioteca Universitaria di Agraria Gabriele Goidanich;San Donato - San Vitale;SAN DONATO NUOVO;"{""type"":""Point"",""coordinates"":[11.4062821,44.5144682]}"
66;Biblioteca Corticella Luigi Fabbri;Navile;CORTICELLA - DOZZA;"{""type"":""Point"",""coordinates"":[11.3597729,44.5462223]}"
67;Biblioteca ENEA di Bologna;Navile;CORTICELLA - DOZZA;"{""type"":""Point"",""coordinates"":[11.3443725,44.5255037]}"
68;Biblioteca Lame - Cesare Malservisi;Navile;BEVERARA;"{""type"":""Point"",""coordinates"":[11.3297195,44.5184653]}"
69;Biblioteca del Navile;Navile;BEVERARA;"{""type"":""Point"",""coordinates"":[11.3364658,44.5217109]}"
70;Biblioteca Dario Nobili;Navile;BEVERARA;"{""type"":""Point"",""coordinates"":[11.3390081,44.5222792]}"
71;"Biblioteca ""Orlando Pezzoli""";Borgo Panigale - Reno;BARCA;"{""type"":""Point"",""coordinates"":[11.2963554,44.5022769]}"
72;Biblioteca Scandellara - Mirella Bartolotti;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.383326476,44.496845994]}"
73;Sala Studio Prometeo;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.3575979,44.4927467]}"
74;"Biblioteca di Medicina. Biblioteca Clinica ""F. B. Bianchi"". Sezione di Malattie dell'apparato cardiovascolare";San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.3593557,44.4926977]}"
75;"Biblioteca di Medicina. Biblioteca Clinica ""F. B. Bianchi"". Sezione di Medicina interna ""Gasbarrini""";San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.3612915,44.490861]}"
76;"Biblioteca di Medicina. Biblioteca Clinica ""F. B. Bianchi"". Sezione centrale";San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.3624668,44.4906377]}"
77;"Biblioteca di Medicina. Biblioteca Clinica ""F. B. Bianchi"". Sezione di Chirurgia generale e dei trapianti d'organo ""L. Possati""";San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.3588002,44.4924946]}"
78;"Biblioteca di Medicina. Biblioteca Clinica ""F. B. Bianchi"". Sezione di Scienze ginecologiche, ostetriche e pediatriche";San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.3618579,44.4923914]}"
79;"Biblioteca di Medicina. Biblioteca Clinica ""F. B. Bianchi"". Fondo di Scienze dermatologiche ""L. Martinotti""";San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.3580039,44.4937457]}"
80;"Biblioteca di Medicina. Biblioteca Clinica ""F. B. Bianchi"". Fondo di Microbiologia";San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.3606145,44.4910439]}"
81;Biblioteca Centralizzata IRCCS Azienda Ospedaliero-Universitaria di Bologna;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.3638571,44.4902351]}"
82;Biblioteca Meridiana;San Donato - San Vitale;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.3557209,44.5041876]}"
83;Biblioteca agenzia sanitaria e sociale regionale (regione Emilia-Romagna;San Donato - San Vitale;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.3589928,44.510037]}"
84;Biblioteca dell'Assemblea Legislativa della Regione Emilia Romagna;San Donato - San Vitale;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.3658636,44.5083368]}"
85;Biblioteca Casa di Khaoula;Navile;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.347522015,44.520092678]}"
86;Biblioteca Istituto Nazionale di Geofisica e Vulcanologia;Navile;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.3509056,44.5106975]}"
